ts,value
1445900238876,38.48
1445900248880,39.31
1445900258886,37.96
1445900268893,38.79
1445900278898,38.79
1445900288904,38.79
1445900298908,38.58
1445900308915,38.27
1445900318919,36.84
1445900328925,36.74
1445900338929,34.96
1445900348936,34.76
1445900358946,33.50
1445900368955,33.12
1445900378961,32.74
1445900388965,32.18
1445900398971,32.27
1445900408978,31.15
1445900418983,30.14
1445900428990,30.50
1445900438996,29.68
1445900449002,29.59
1445900459009,29.04
1445900469015,28.68
1445900479020,28.95
1445900489026,28.14
1445900499057,28.23
1445900509063,27.78
1445900519069,27.25
1445900529073,27.16
1445900548897,26.80
1445900559002,27.07
1445900569020,26.36
1445900579029,26.63
1445900589038,26.80
1445900599044,26.80
1445900609050,26.19
1445900619056,26.54
1445900629060,25.39
1445900639064,25.48
1445900649068,26.45
1445900659073,25.92
1445900669077,25.83
1445900679093,25.48
1445900699595,25.57
1445900709703,25.92
1445900719720,25.39
1445900729726,26.01
1445900739736,29.41
1445900749743,32.18
1445900759750,33.31
1445900769756,31.90
1445900779763,31.06
1445900789770,30.87
1445900799777,30.14
1445900809783,30.69
1445900819787,30.04
1445900829803,29.95
1445900839811,29.04
1445900849821,29.77
1445900859826,29.13
1445900869845,28.86
1445900879850,29.32
1445900889855,28.95
1445900899859,29.04
1445900909863,28.86
1445900919867,29.04
1445900929871,27.87
1445900939875,27.52
1445900949879,27.25
1445900959883,28.50
1445900969887,28.14
1445900979891,27.34
1445900989896,31.15
1445900999902,33.50
1445901009907,33.70
1445901019914,35.54
1445901029922,37.14
1445901039928,36.14
1445901049932,37.04
1445901059936,37.86
1445901069940,37.65
1445901079944,38.27
1445901089948,37.14
1445901099953,38.06
1445901109958,37.45
1445901119963,38.79
1445901129968,39.31
1445901139972,38.48
1445901149976,38.37
1445901159980,38.89
1445901170007,39.42
1445901180011,38.48
1445901190015,38.06
1445901200021,39.21
1445901210025,38.58
1445901220029,38.68
1445901230034,38.58
1445901240038,39.42
1445901250042,37.86
1445901260046,38.89
1445901270051,39.00
1445901280054,39.95
1445901290058,38.79
1445901300063,36.74
1445901310067,36.24
1445901320072,35.15
